episode,total_reward,steps,accepted,truncated,desired_duration,loop_duration,duration_error,scenic_score,diversity_score
5,-0.05,1,False,False,17.04670416827787,59.09574077064113,42.04903660236326,0.781568793113211,0.7
5,-0.1,2,False,False,17.04670416827787,73.28197385696922,56.235269688691346,0.7250031825650223,0.5053763440860215
5,-0.15000000000000002,3,False,False,17.04670416827787,42.69282998562103,25.64612581734316,0.3574728043967109,0.5111111111111111
5,-0.2,4,False,False,17.04670416827787,52.84454097937987,35.797836811102,0.6262902700085794,0.5081967213114754
5,-0.25,5,False,False,17.04670416827787,71.07705266128129,54.030348493003416,0.890723824725036,0.6363636363636364
5,-0.3,6,False,False,17.04670416827787,39.66595869657031,22.619254528292437,0.5461084538976091,0.5517241379310345
5,-0.35,7,False,False,17.04670416827787,52.509786833670105,35.463082665392236,0.9293234070121137,0.717391304347826
5,-0.39999999999999997,8,False,False,17.04670416827787,51.729651060824295,34.682946892546425,0.7986186600978913,0.8928571428571429
5,-1.4,9,False,True,17.04670416827787,51.729651060824295,34.682946892546425,0.7986186600978913,0.8928571428571429
6,-0.05,1,False,False,47.30659193215704,28.612437669674435,18.694154262482606,0.7829711340714558,0.8780487804878049
6,-0.1,2,False,False,47.30659193215704,57.21667018874097,9.91007825658393,0.449570924598669,0.68
6,-0.15000000000000002,3,False,False,47.30659193215704,62.33937824314409,15.03278631098705,0.9241633188752525,0.6547619047619048
6,-0.2,4,False,False,47.30659193215704,51.65810193605364,4.3515100038966,0.4042708798737181,0.8873239436619719
6,2.084362067298222,5,True,False,47.30659193215704,51.65810193605364,4.3515100038966,0.4042708798737181,0.8873239436619719
7,-0.05,1,False,False,49.39570864459847,56.46711631181514,7.071407667216668,0.7185445823719367,0.7205882352941176
7,-0.1,2,False,False,49.39570864459847,63.454695331178044,14.058986686579573,0.4783666077639659,0.5079365079365079
7,-0.15000000000000002,3,False,False,49.39570864459847,20.338912229739726,29.056796414858745,0.8768619562062037,0.825
7,-0.2,4,False,False,49.39570864459847,61.7726337455162,12.376925100917731,0.3683697160396185,0.68
7,1.6870512397142372,5,True,False,49.39570864459847,61.7726337455162,12.376925100917731,0.3683697160396185,0.68
8,-0.05,1,False,False,17.892792398788494,29.814827030631804,11.92203463184331,0.8433257709320421,0.8235294117647058
8,-0.1,2,False,False,17.892792398788494,33.555308426476174,15.66251602768768,0.31618439072362564,0.8490566037735849
8,-0.15000000000000002,3,False,False,17.892792398788494,31.0829641099258,13.190171711137307,0.4310526876365135,0.8181818181818182
8,-0.2,4,False,False,17.892792398788494,60.795726409696165,42.90293401090767,0.39363589147500755,0.7246376811594203
8,-0.25,5,False,False,17.892792398788494,36.206965050410055,18.31417265162156,0.5006987055243879,0.6415094339622641
8,-0.3,6,False,False,17.892792398788494,61.04773234406386,43.154939945275366,0.4819360208718289,0.7974683544303798
8,-0.35,7,False,False,17.892792398788494,43.76242385515586,25.869631456367365,0.4043356117659974,0.9428571428571428
8,-0.39999999999999997,8,False,False,17.892792398788494,27.329372802801203,9.436580404012709,0.43222383030002176,0.8571428571428571
8,1.0184635252148935,9,True,False,17.892792398788494,27.329372802801203,9.436580404012709,0.43222383030002176,0.8571428571428571
9,-0.05,1,False,False,17.798675564785974,82.29746298223752,64.49878741745155,0.7995159105806138,0.7327586206896551
